Life Event,Months,Color
"Hawaii",72,#1eb36d
"Jakarta",45,#0fffaf
"Hawaii",96,#1eb36d
"Occidental College",24,#caa9d1
"Columbia University",21,#ba53df
"Business Int. Co.",15,#e0f2b1
"NYPIRG",5,#dce83b
"Chicago Comm. Org.",38,#e7ac46
"Harvard Law",39,#e33131
"U. Chicago Professor",60,#cc1480
"Illinois State Senator",96,#9ccfd8
"US Senator",48,#28bdd7
"President",96,#2377d7
"Private Citizen",44,#6ab98c
