Life Event,Months,Color
"Connecticut",25,#61c26c
"Texas",157,#62df64
"Phillips Academy",36,#e2a1db
"Yale University",44,#e571b5
"Texas Air National Guard",64,#d1d425
"Harvard Business School",20,#d25b73
"Energy Management",167,#c3ba37
"Texas Rangers Manager",69,#9ea3a3
"Governor of Texas",72,#28bdd7
"President",96,#2377d7
"Private Citizen",140,#6ab98c
