Life Event,Months,Color
"Arkansas",217,#49ca4d
"Georgetown University",48,#e89ce1
"Rhodes Scholar, Oxford",12,#dd69d3
"Yale Law School",48,#ec3636
"U. Arkansas Professor",40,#cc1480
"Attorney General of Ark.",24,#81dee4
"Governor of Arkansas",24,#28bdd7
"Little Rock Lawyer",24,#dae773
"Governor of Arkansas",120,#28bdd7
"President",96,#2377d7
"Private Citizen",236,#6ab98c
