Life Event,Months,Color
"New York",159,#49ca4d
"New York Military Acad.",60,#e38aef
"Fordham University",24,#c26bab
"Wharton School, U-Penn",20,#c647d7
"Trump Management",35,#f4e195
"Trump Organization",83,#d8e51f
"Manhattan Real Estate",78,#ecc813
"Hotel and Casino Mgmt",228,#e3a41c
"The Apprentice",148,#b2b8b6
"President",56,#2377d7
